id,name,voltage_kv,cables,operator,capacity_mw,start_lon,start_lat,end_lon,end_lat,length_km
27579180,Glorenza-Curon,132.0,3,unknown,300,10.5761067,46.673977,10.5437992,46.8072853,15.38
27845546,Candela-Deliceto,380.0,3,unknown,1500,15.4749462,41.2028089,15.4713533,41.2190015,1.86
30129595,Line_30129595,132.0,unknown,unknown,300,9.6744432,45.3577083,9.6658546,45.3134136,5.09
30645316,Foggia-Palo del Colle,380.0,3,unknown,1500,15.539915,41.5022629,16.7263643,41.0754028,113.92
31193726,Line_31193726,132.0,unknown,unknown,300,9.608511,45.6333431,9.4410816,45.6374402,13.08
32243300,Ardenno-Zogno,132.0,3,unknown,300,9.7127755,45.9517483,9.6432026,45.7896585,32.39
32842009,Line_32842009,220.0,1,unknown,700,8.6848237,44.4268166,8.6740509,44.423876,0.92
32842010,Line_32842010,220.0,1,unknown,700,8.6740509,44.423876,8.6848237,44.4268166,0.92
34168764,Line_34168764,380.0,3,unknown,1500,9.0920356,45.539502,9.0863349,45.5391719,0.55
34168765,Line_34168765,380.0,6,unknown,1500,9.064626,45.5474365,9.0863349,45.5391719,1.94
35560565,Line_35560565,132.0,3,ENEL,300,11.6693807,46.7944414,11.6678052,46.7170566,8.8
36770237,Taio-Sandrà,220.0,3,unknown,700,10.7736792,45.4523625,10.7739314,45.452407,0.02
37675496,Line_37675496,132.0,unknown,unknown,300,9.6181289,45.6314901,9.6099965,45.6321289,0.64
38148119,Line_38148119,132.0,unknown,unknown,300,9.6658546,45.3134136,9.4414388,45.3335069,18.32
38219676,Line_38219676,132.0,unknown,unknown,300,9.6743867,45.357916,9.7847361,45.3735044,10.16
40119229,Line_40119229,220.0,1,unknown,700,8.6450694,44.4155611,8.6147844,44.4067871,2.6
40119230,Line_40119230,220.0,1,unknown,700,8.6147844,44.4067871,8.6450694,44.4155611,2.6
40218104,San Martino - Vaiano,132.0,3,Terna,300,11.1020524,43.8907939,11.1243605,43.959293,9.34
40232646,Prato S. Paolo - Prato Autostrada,132.0,3,Terna,300,11.0694929,43.8831399,11.1009646,43.8648905,3.41
40272400,Marinella - Prato Autostrada,132.0,3,Terna,300,11.1370004,43.8450577,11.1012597,43.8643032,4.31
40377932,Line_40377932,380.0,unknown,unknown,1500,11.0547839,43.8070972,11.0543161,43.8069885,0.04
40430589,Line_40430589,132.0,3,unknown,300,11.0566632,43.8060937,11.0575983,43.8060066,0.08
40634283,Calenzano - San Martino,132.0,3,Terna,300,11.1022854,43.8907177,11.1647697,43.8485044,7.59
41225135,Line_41225135,132.0,unknown,unknown,300,9.6446135,45.6354957,9.6571918,45.6192418,2.61
41225141,Grassobbio-Gorlago,132.0,3,unknown,300,9.7275531,45.6378749,9.819685,45.6701664,8.35
41360295,Line_41360295,380.0,3,Terna S.p.A.,1500,11.1606146,43.851312,11.1549459,43.8520512,0.49
41360296,Suvereto - Poggio a Caiano,380.0,3,Terna S.p.A.,1500,11.1549459,43.8520512,11.1606146,43.851312,0.5
41360297,Line_41360297,380.0,6,Terna S.p.A.,1500,11.1606146,43.851312,11.1637434,43.8498282,0.3
41360298,Suvereto - Poggio a Caiano,380.0,6,unknown,1500,11.132847,43.8518055,11.1549459,43.8520512,1.94
41360300,Calenzano - Marinella,132.0,3,Terna,300,11.1370879,43.8451526,11.1667885,43.8476154,2.86
41360306,Line_41360306,132.0,6,unknown,300,11.077415,43.8435034,11.0994077,43.8647722,3.01
41360307,Prato Autostrada - S. Giorgio,132.0,3,Terna,300,11.077415,43.8435034,11.0985065,43.8417628,2.28
41360309,San Cresci - San Giorgio,132.0,3,Terna,300,11.0985065,43.8417628,11.140021,43.8044542,6.0
41529085,Line_41529085,132.0,3,FS,300,11.3933814,46.9513436,11.4441443,46.8934578,11.5
41529088,Line_41529088,132.0,3,FS,300,11.4783819,46.9757614,11.3933341,46.9514446,8.43
41644397,Line_41644397,220.0,3,unknown,700,10.8813329,45.8837271,10.8818115,45.8836967,0.04
41820527,T. 23.861F,132.0,3,unknown,300,11.5317813,46.6048244,11.6682784,46.7165516,16.75
41873669,Line_41873669,132.0,3,unknown,300,11.5877273,46.5942051,11.6381894,46.5812862,4.49
41936332,Line_41936332,0.0,6,unknown,100,9.4500929,45.6490936,9.4476058,45.6369218,1.37
