node_id,name,lat,lon,max_voltage_kv,n_substations,operators
0,Pieve Albignola,45.16074943333346,8.796991572222215,380,18,"Enel Distribuzione, Terna, RFI"
1,Flero,45.5103808382981,10.177685091489364,380,47,"Unareti S.p.A., GRTN/Terna, Duferdofin"
2,Bovisio,45.68723408666668,9.13719039000001,380,30,"Enel Distribuzione, e-distribuzione S.p.A., Edison"
3,Ciserano,45.59909069444482,9.586104158333345,380,36,"Enel Distribuzione, Siad, Pilenga Pietro"
4,Caorso,45.13536297916665,9.964589533333356,380,24,"Terna, Terna S.p.A., Unknown"
5,Edolo,46.07052728666686,10.342947546666684,380,15,"Enel Produzione S.p.A., Terna, Enel Produzione"
6,Mercallo,45.65644848846166,8.750110234615383,380,26,"Enel Distribuzione, e-distribuzione S.p.A., Terna S.p.A."
7,Ludrigno,45.90454554285742,9.922010814285715,132,14,"Enel Green Power, Enel Distribuzione, Enel Produzione"
8,La Casella,45.08389487777781,9.485084422222213,380,9,"Terna S.p.A., Enel Distribuzione, RFI"
9,Brugherio - Smistamento elettrico TERNA,45.481948863043556,9.245555030434799,380,46,"Terna, Terna S.p.A., Edison"
10,Sottostazione di Gravedona,46.0974778000001,9.418062188235277,132,17,"e-distribuzione S.p.A., Enel Distribuzione, AFL Consorzio"
11,Ghedi,45.36264098000003,10.432672706666672,132,15,"Enel Distribuzione, Golden Lady, Gorispac"
12,Stazione elettrica Magenta,45.45038356500003,8.866335370000005,380,20,"RFI, e-distribuzione S.p.A., Enel Distribuzione"
13,Pian Camuno,45.88505011875009,10.20297188750001,380,16,"Terna S.p.A., Terna, Lucchini"
14,Cassano,45.53529005000012,9.422155059090924,380,22,"Enel Distribuzione, Unknown, e-distribuzione S.p.A."
15,Voghera,45.13548493571433,9.140305949999986,380,14,"Voghera Energia, RFI, Enel Distribuzione"
16,Gorlago,45.70751490909102,9.738943413636372,380,22,"Nuovo Istituto Arti Grafiche, Enel Distribuzione, Terna S.p.A."
17,Pogliano,45.61393301600009,8.93330025599999,380,25,"Enel Distribuzione, Terna S.p.A., Ansaldo Energia"
18,Calvagese,45.60952870000006,10.375117362500013,132,16,"Terna, A2A Reti Elettriche, Unareti S.p.A."
19,Pralboino,45.15988071000052,10.326066610000025,150,10,"Enel Distribuzione, e-distribuzione S.p.A., RFI"
20,San Rocco al Porto,45.13916094090916,9.722453577272729,380,22,"e-distribuzione S.p.A., Terna S.p.A., Enel Distribuzione"
21,Musignano,45.88785037857146,8.635022728571451,380,14,"Unknown, Enel Distribuzione, Acetati"
22,Ospiate,45.48348358500011,9.084588545000011,380,40,"Terna S.p.A., Italtel, Enel Distribuzione"
23,Tavazzano Centrale,45.301051778947446,9.430150094736833,380,19,"Enel Distribuzione, Terna S.p.A., RFI"
24,Chiari,45.534573319231136,9.899742769230777,380,26,"Terna S.p.A., Eural Gnutti, Enel Distribuzione"
25,Sondrio,46.128147378571605,9.811626521428584,220,14,"Enel Produzione, Enel Distribuzione, Edison"
26,Cagno,45.82440439230774,8.872218176923097,380,13,"Enel Distribuzione, e-distribuzione S.p.A., Terna S.p.A."
27,Ganda,46.16260202857148,10.096012471428583,220,7,"A2A, Enel Distribuzione, RFI"
28,Turbigo,45.48517644375002,8.638388081249985,380,16,"Enel Distribuzione, Terna, e-distribuzione S.p.A."
29,Bulciago,45.72931925945946,9.352202108108104,380,37,"Dalmine, Enel Distribuzione, Terna"
