flowdate,hour,period,zone,servicetype,volumessoldrevoked,volumessoldnotrevoked,volumespurchasedrevoked,volumespurchasednotrevoked,minimumpurchasingprice,averagepurchasingprice,maximumsellingprice,averagesellingprice
20251220,1,1,CALA,AS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,1,1,CALA,RS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,1,1,CALA,TT,0.0000,0.0000,0.0000,0.0000,null,null,null,null
20251220,1,2,CALA,TT,0.0000,0.0000,0.0000,0.0000,null,null,null,null
20251220,1,2,CALA,RS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,1,2,CALA,AS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,1,3,CALA,AS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,1,3,CALA,RS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,1,3,CALA,TT,0.0000,0.0000,0.0000,0.0000,null,null,null,null
20251220,1,4,CALA,TT,0.0000,0.0000,0.0000,0.0000,null,null,null,null
20251220,1,4,CALA,RS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,1,4,CALA,AS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,2,5,CALA,AS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,2,5,CALA,TT,0.0000,0.0000,0.0000,0.0000,null,null,null,null
20251220,2,5,CALA,RS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,2,6,CALA,RS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,2,6,CALA,TT,0.0000,0.0000,0.0000,0.0000,null,null,null,null
20251220,2,6,CALA,AS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,2,7,CALA,AS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,2,7,CALA,TT,0.0000,0.0000,0.0000,0.0000,null,null,null,null
20251220,2,7,CALA,RS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,2,8,CALA,RS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,2,8,CALA,TT,0.0000,0.0000,0.0000,0.0000,null,null,null,null
20251220,2,8,CALA,AS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,3,9,CALA,AS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,3,9,CALA,RS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,3,9,CALA,TT,0.0000,0.0000,0.0000,0.0000,null,null,null,null
20251220,3,10,CALA,TT,0.0000,0.0000,0.0000,0.0000,null,null,null,null
20251220,3,10,CALA,RS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,3,10,CALA,AS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,3,11,CALA,AS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,3,11,CALA,RS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20251220,3,11,CALA,TT,0.0000,0.0000,0.0000,0.0000,null,null,null,null
20251220,3,12,CALA,TT,0.0000,0.0000,0.0000,0.0000,null,null,null,null
