flowdate,hour,period,market,from,to,transit
20251230,1,1,MGP,BSP,COUP,-818.0000
20251230,1,1,MGP,CALA,SICI,1330.9000
20251230,1,1,MGP,CALA,SUD,-1253.0000
20251230,1,1,MGP,CNOR,CORS,0.0000
20251230,1,1,MGP,CNOR,CSUD,1718.6590
20251230,1,1,MGP,CNOR,NORD,-2222.2590
20251230,1,1,MGP,COUP,XAUS,165.0000
20251230,1,1,MGP,COUP,XFRA,-2957.0000
20251230,1,1,MGP,CSUD,MONT,-245.0000
20251230,1,1,MGP,CSUD,SARD,-16.9000
20251230,1,1,MGP,CSUD,SUD,-48.5410
20251230,1,1,MGP,NORD,AUST,0.0000
20251230,1,1,MGP,NORD,COUP,-1974.0000
20251230,1,1,MGP,NORD,FRAN,0.0000
20251230,1,1,MGP,NORD,SLOV,0.0000
20251230,1,1,MGP,NORD,SVIZ,-1150.0000
20251230,1,1,MGP,SARD,COAC,103.0000
20251230,1,1,MGP,SARD,CORS,47.0000
20251230,1,1,MGP,SICI,MALT,124.0000
20251230,1,1,MGP,SUD,GREC,0.0000
20251230,1,1,MGP,SUD,XGRE,-500.0000
20251230,1,2,MGP,SUD,XGRE,-500.0000
20251230,1,2,MGP,SUD,GREC,0.0000
20251230,1,2,MGP,SICI,MALT,119.0000
20251230,1,2,MGP,SARD,CORS,47.0000
20251230,1,2,MGP,SARD,COAC,103.0000
20251230,1,2,MGP,NORD,SVIZ,-1150.0000
20251230,1,2,MGP,NORD,SLOV,0.0000
20251230,1,2,MGP,NORD,FRAN,0.0000
20251230,1,2,MGP,NORD,COUP,-1974.0000
20251230,1,2,MGP,NORD,AUST,0.0000
20251230,1,2,MGP,CSUD,SUD,-215.4410
20251230,1,2,MGP,CSUD,SARD,-40.0000
20251230,1,2,MGP,CSUD,MONT,-245.0000
20251230,1,2,MGP,COUP,XFRA,-2957.0000
20251230,1,2,MGP,COUP,XAUS,165.0000
20251230,1,2,MGP,CNOR,NORD,-2008.4100
20251230,1,2,MGP,CNOR,CSUD,1430.6590
20251230,1,2,MGP,CNOR,CORS,0.0000
20251230,1,2,MGP,CALA,SUD,-1167.2000
20251230,1,2,MGP,CALA,SICI,1272.8000
20251230,1,2,MGP,BSP,COUP,-818.0000
20251230,1,3,MGP,BSP,COUP,-818.0000
20251230,1,3,MGP,CALA,SICI,1184.3000
20251230,1,3,MGP,CALA,SUD,-1047.8000
20251230,1,3,MGP,CNOR,CORS,0.0000
20251230,1,3,MGP,CNOR,CSUD,1015.1590
20251230,1,3,MGP,CNOR,NORD,-1684.1590
20251230,1,3,MGP,COUP,XAUS,165.0000
20251230,1,3,MGP,COUP,XFRA,-2957.0000
20251230,1,3,MGP,CSUD,MONT,-245.0000
20251230,1,3,MGP,CSUD,SARD,-55.6000
20251230,1,3,MGP,CSUD,SUD,-449.3410
20251230,1,3,MGP,NORD,AUST,0.0000
20251230,1,3,MGP,NORD,COUP,-1974.0000
20251230,1,3,MGP,NORD,FRAN,0.0000
20251230,1,3,MGP,NORD,SLOV,0.0000
20251230,1,3,MGP,NORD,SVIZ,-1050.0000
20251230,1,3,MGP,SARD,COAC,103.0000
20251230,1,3,MGP,SARD,CORS,47.0000
20251230,1,3,MGP,SICI,MALT,114.0000
20251230,1,3,MGP,SUD,GREC,0.0000
20251230,1,3,MGP,SUD,XGRE,-500.0000
20251230,1,4,MGP,SUD,XGRE,-500.0000
20251230,1,4,MGP,SUD,GREC,0.0000
20251230,1,4,MGP,SICI,MALT,109.0000
20251230,1,4,MGP,SARD,CORS,47.0000
20251230,1,4,MGP,SARD,COAC,103.0000
20251230,1,4,MGP,NORD,SVIZ,-1050.0000
20251230,1,4,MGP,NORD,SLOV,0.0000
20251230,1,4,MGP,NORD,FRAN,0.0000
20251230,1,4,MGP,NORD,COUP,-1974.0000
20251230,1,4,MGP,NORD,AUST,0.0000
20251230,1,4,MGP,CSUD,SUD,-619.0410
20251230,1,4,MGP,CSUD,SARD,-70.8000
20251230,1,4,MGP,CSUD,MONT,-245.0000
20251230,1,4,MGP,COUP,XFRA,-2957.0000
20251230,1,4,MGP,COUP,XAUS,165.0000
20251230,1,4,MGP,CNOR,NORD,-1356.2590
20251230,1,4,MGP,CNOR,CSUD,775.1590
20251230,1,4,MGP,CNOR,CORS,0.0000
20251230,1,4,MGP,CALA,SUD,-974.4000
20251230,1,4,MGP,CALA,SICI,1131.6000
20251230,1,4,MGP,BSP,COUP,-818.0000
20251230,2,5,MGP,BSP,COUP,-818.0000
20251230,2,5,MGP,CALA,SICI,1132.7000
20251230,2,5,MGP,CALA,SUD,-949.3000
20251230,2,5,MGP,CNOR,CORS,0.0000
20251230,2,5,MGP,CNOR,CSUD,705.7000
20251230,2,5,MGP,CNOR,NORD,-1336.2000
20251230,2,5,MGP,COUP,XAUS,165.0000
20251230,2,5,MGP,COUP,XFRA,-2957.0000
20251230,2,5,MGP,CSUD,MONT,-295.0000
20251230,2,5,MGP,CSUD,SARD,-90.5000
20251230,2,5,MGP,CSUD,SUD,-563.0000
20251230,2,5,MGP,NORD,AUST,0.0000
20251230,2,5,MGP,NORD,COUP,-1974.0000
20251230,2,5,MGP,NORD,FRAN,0.0000
