flowdate,market,hour,period,from,to,maxtransmissionlimitfrom,maxtransmissionlimitto,coefficient
20251220,MGP,1,1,AUST,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,1,1,BSP,COUP,649.0000,680.0000,0.0000
20251220,MGP,1,1,CALA,SICI,1552.0000,1493.0000,0.0000
20251220,MGP,1,1,CALA,SUD,2350.0000,1606.0000,0.0000
20251220,MGP,1,1,CNOR,CORS,300.0000,300.0000,0.0000
20251220,MGP,1,1,CNOR,CSUD,2019.0000,2799.0000,0.0000
20251220,MGP,1,1,CNOR,NORD,4527.0000,3142.0000,0.0000
20251220,MGP,1,1,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,1,1,CORS,SARD,300.0000,300.0000,0.0000
20251220,MGP,1,1,COUP,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,1,1,COUP,XAUS,165.0000,365.0000,0.0000
20251220,MGP,1,1,COUP,XFRA,2160.0000,4192.0000,0.0000
20251220,MGP,1,1,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,1,1,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,1,1,CSUD,SUD,2400.0000,5506.0000,0.0000
20251220,MGP,1,1,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,1,1,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,1,1,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,1,1,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,1,1,SUD,XGRE,500.0000,500.0000,0.0000
20251220,MGP,1,1,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,1,2,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,1,2,SUD,XGRE,500.0000,500.0000,0.0000
20251220,MGP,1,2,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,1,2,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,1,2,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,1,2,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,1,2,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,1,2,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,1,2,CSUD,SUD,2400.0000,5506.0000,0.0000
20251220,MGP,1,2,COUP,NORD,10000.0000,10000.0000,0.0000
