flowdate,hour,period,zone,volumespurchased,volumessold,minimumpurchasingprice,averagepurchasingprice,maximumsellingprice,averagesellingprice
20251220,8,31,AUST,0.000000,0.000000,null,null,null,null
20251220,8,32,AUST,0.000000,0.000000,null,null,null,null
20251220,9,33,AUST,0.000000,0.000000,null,null,null,null
20251220,9,34,AUST,0.000000,0.000000,null,null,null,null
20251220,9,35,AUST,0.000000,0.000000,null,null,null,null
20251220,9,36,AUST,0.000000,0.000000,null,null,null,null
20251220,10,37,AUST,0.000000,0.000000,null,null,null,null
20251220,10,38,AUST,0.000000,0.000000,null,null,null,null
20251220,10,39,AUST,0.000000,0.000000,null,null,null,null
20251220,10,40,AUST,0.000000,0.000000,null,null,null,null
20251220,11,41,AUST,0.000000,0.000000,null,null,null,null
20251220,11,42,AUST,0.000000,0.000000,null,null,null,null
20251220,11,43,AUST,0.000000,0.000000,null,null,null,null
20251220,11,44,AUST,0.000000,0.000000,null,null,null,null
20251220,12,45,AUST,0.000000,0.000000,null,null,null,null
20251220,12,46,AUST,0.000000,0.000000,null,null,null,null
20251220,12,47,AUST,0.000000,0.000000,null,null,null,null
20251220,12,48,AUST,0.000000,0.000000,null,null,null,null
20251220,13,49,AUST,0.000000,0.000000,null,null,null,null
20251220,13,50,AUST,0.000000,0.000000,null,null,null,null
20251220,14,53,AUST,0.000000,0.000000,null,null,null,null
20251220,14,54,AUST,0.000000,0.000000,null,null,null,null
20251220,14,55,AUST,0.000000,0.000000,null,null,null,null
20251220,14,56,AUST,0.000000,0.000000,null,null,null,null
20251220,15,57,AUST,0.000000,0.000000,null,null,null,null
20251220,15,58,AUST,0.000000,0.000000,null,null,null,null
20251220,15,59,AUST,0.000000,0.000000,null,null,null,null
20251220,15,60,AUST,0.000000,0.000000,null,null,null,null
20251220,16,61,AUST,0.000000,0.000000,null,null,null,null
20251220,16,62,AUST,0.000000,0.000000,null,null,null,null
20251220,16,63,AUST,0.000000,0.000000,null,null,null,null
20251220,16,64,AUST,0.000000,0.000000,null,null,null,null
20251220,17,65,AUST,0.000000,0.000000,null,null,null,null
20251220,17,66,AUST,0.000000,0.000000,null,null,null,null
20251220,17,67,AUST,0.000000,0.000000,null,null,null,null
20251220,17,68,AUST,0.000000,0.000000,null,null,null,null
20251220,18,69,AUST,0.000000,0.000000,null,null,null,null
20251220,18,70,AUST,0.000000,0.000000,null,null,null,null
20251220,18,71,AUST,0.000000,0.000000,null,null,null,null
20251220,18,72,AUST,0.000000,0.000000,null,null,null,null
20251220,19,73,AUST,0.000000,0.000000,null,null,null,null
20251220,19,74,AUST,0.000000,0.000000,null,null,null,null
20251220,19,75,AUST,0.000000,0.000000,null,null,null,null
20251220,19,76,AUST,0.000000,0.000000,null,null,null,null
20251220,20,77,AUST,0.000000,0.000000,null,null,null,null
20251220,20,78,AUST,0.000000,0.000000,null,null,null,null
20251220,20,79,AUST,0.000000,0.000000,null,null,null,null
20251220,20,80,AUST,0.000000,0.000000,null,null,null,null
20251220,21,81,AUST,0.000000,0.000000,null,null,null,null
20251220,21,82,AUST,0.000000,0.000000,null,null,null,null
20251220,21,84,AUST,0.000000,0.000000,null,null,null,null
20251220,22,85,AUST,0.000000,0.000000,null,null,null,null
20251220,22,86,AUST,0.000000,0.000000,null,null,null,null
20251220,8,31,CALA,0.000000,0.000000,null,null,null,null
20251220,8,32,CALA,0.000000,0.000000,null,null,null,null
20251220,9,33,CALA,0.000000,0.000000,null,null,null,null
20251220,9,34,CALA,0.000000,0.000000,null,null,null,null
20251220,9,35,CALA,0.000000,0.000000,null,null,null,null
20251220,9,36,CALA,0.000000,0.000000,null,null,null,null
