id,name,type,source,carrier,capacity_mw,output_raw,operator,lat,lon
25941989,Centrale Termoelettrica di Sesto San Giovanni,plant,gas,CCGT,106.0,106 MW,Edison,45.54168449999995,9.250787900000022
33740537,generator_33740537,generator,hydro,hydro,,,unknown,45.615886399999866,9.559220100000005
37681343,plant_37681343,plant,unknown,other,,,ENEL,45.600845200000045,9.886839499999988
39251146,Italgen,generator,hydro,hydro,4.01,4010 kW,Italgen - Italcementi Group,45.602169300000064,9.885886600000003
44674383,generator_44674383,generator,hydro,hydro,,yes,unknown,45.899866300000376,9.659764399999993
44860949,Centrale di Paisco,plant,hydro,hydro,7.0,7 MW,unknown,46.07373189999996,10.28235479999997
48964555,Centrale elettrica Ludovico il Moro,generator,hydro,hydro,6.52,6520 kW,Enel,45.33875550000001,8.869417600000022
51601405,Centrale termoelettrica di Turbigo,plant,gas,CCGT,1280.0,1280 MW,Iren,45.52018139999996,8.746731299999992
51662594,Centrale di Tornavento,plant,hydro,hydro,7.0,7 MW,Enel,45.582784499999974,8.706217899999995
61973987,Troggia,generator,hydro,hydro,0.33,0.33 MW,ENEL,45.98748279999995,9.462195400000025
64201172,Centrale Enel di Edolo,plant,hydro,hydro,1000.0,1000 MW,Enel Produzione S.p.A.,46.17637780000017,10.353141299999967
64296901,generator_64296901,generator,hydro,hydro,,,unknown,45.79053809999986,9.64062270000004
65497855,generator_65497855,generator,hydro,hydro,,,unknown,45.59510499999975,10.441719199999934
67400512,Centrale di Cassano d'Adda,plant,gas,CCGT,848.0,848 MW,A2A,45.51311440000004,9.50848090000001
70273334,Centrale di Campagnola,generator,hydro,hydro,,,unknown,45.25428459999994,10.015712699999993
70474688,Centrale Idroelettrica della Rezza,plant,hydro,hydro,,yes,unknown,45.31652739999991,9.891595200000028
72475433,Centrale termoelettrica di Alzano Lombardo,generator,fossil,other,,,ENEL,45.73103700000033,9.740281900000024
73306228,generator_73306228,generator,solar,solar,,yes,unknown,45.46766389999995,8.903397199999974
