osm_id,name,voltage_kv,cables,circuits,operator,length_km,lon_start,lat_start,lon_end,lat_end
25823775,,0.0,,,,1.07,14.145280999999972,42.502833899999885,14.147694300000008,42.51188760000003
27579180,Glorenza-Curon,132.0,3,,,15.91,10.576106700000015,46.67397700000005,10.543799200000004,46.80728529999988
27845546,Candela-Deliceto,380.0,3,,,1.9,15.474946200000014,41.20280889999989,15.471353300000088,41.219001500003344
30129595,,132.0,,,,5.24,9.674443200000018,45.35770830000003,9.66585459999991,45.313413599999734
30645316,Foggia-Palo del Colle,380.0,3,,,143.33,15.539915000000024,41.50226290000003,16.726364300000014,41.07540280000002
31193726,,132.0,,,,18.63,9.608510999999996,45.63334310000004,9.441081599999992,45.63744019999979
32243300,Ardenno-Zogno,132.0,3,1,,37.55,9.712775500000063,45.95174830000033,9.643202599999984,45.789658499999916
32842009,,220.0,1,,,1.24,8.684823700000052,44.426816599999995,8.674050899999987,44.423875999999865
32842010,,220.0,1,,,1.24,8.674050899999987,44.423875999999865,8.684823700000052,44.426816599999995
34168764,,380.0,3,,,0.72,9.092035599999985,45.53950199999984,9.08633489999998,45.53917190000017
34168765,,380.0,6,2,,2.59,9.064625999999985,45.54743649999984,9.08633489999998,45.53917190000017
35403268,,0.0,,,ENEL,2.65,9.127088200000005,44.49897060000006,9.148140400000035,44.509447099999726
35403269,,0.0,,,ENEL,1.21,9.126814000000003,44.499255000000055,9.137220000000008,44.502600700000066
35560565,,132.0,3,,ENEL,8.94,11.669380699999993,46.794441400000075,11.667805200000007,46.71705659999985
35560576,,0.0,6,,ENA,0.27,11.670405100000108,46.796492499999864,11.669221400000032,46.79468399999987
36770237,Taio-Sandrà,220.0,3,,,0.03,10.773679199999949,45.45236250000001,10.773931399999949,45.45240700000001
37587324,,0.0,,,,8.75,9.305012500000023,44.529734500000174,9.383766700000024,44.52871160000018
37675496,,132.0,,,,0.91,9.618128900000034,45.63149010000016,9.609996499999996,45.63212890000005
38148119,,132.0,,,,25.47,9.66585459999991,45.313413599999734,9.441438799999997,45.333506899999996
38219676,,132.0,,,,13.67,9.674386699999996,45.35791600000029,9.784736099999998,45.37350440000029
40119229,,220.0,1,,,3.5,8.645069399999988,44.415561099999984,8.614784399999987,44.406787100000365
40119230,,220.0,1,,,3.5,8.614784399999987,44.406787100000365,8.645069399999988,44.415561099999984
40218104,San Martino - Vaiano,132.0,3,,Terna,10.07,11.102052399999994,43.8907939,11.124360500000016,43.95929299999992
40232646,Prato S. Paolo - Prato Autostrada,132.0,3,,Terna,4.22,11.069492900000096,43.883139899999726,11.100964600000015,43.864890499999866
40272400,Marinella - Prato Autostrada,132.0,3,,Terna,5.37,11.137000400000055,43.84505769999991,11.101259700000018,43.864303200000066
40377932,,380.0,,,,0.05,11.054783900000038,43.80709719999977,11.054316100000039,43.80698849999976
40430589,,132.0,3,,,0.1,11.056663200000058,43.806093699999934,11.057598300000057,43.80600659999993
40634283,Calenzano - San Martino,132.0,3,,Terna,9.25,11.102285400000097,43.89071769999973,11.164769700000015,43.84850440000005
41225135,,132.0,,,,2.93,9.644613500000034,45.635495700000156,9.657191800000053,45.61924180000002
41225141,Grassobbio-Gorlago,132.0,3,,,11.13,9.727553100000016,45.637874899999986,9.819685000000021,45.670166400000284
41360295,,380.0,3,,Terna S.p.A.,0.65,11.160614600000052,43.85131199999991,11.154945900000053,43.85205119999991
41360296,Suvereto - Poggio a Caiano,380.0,3,,Terna S.p.A.,0.66,11.154945900000053,43.85205119999991,11.160614600000052,43.85131199999991
41360297,,380.0,6,2,Terna S.p.A.,0.38,11.160614600000052,43.85131199999991,11.163743400000053,43.849828199999905
41360298,Suvereto - Poggio a Caiano,380.0,6,2,,2.58,11.132847000000053,43.85180549999992,11.154945900000053,43.85205119999991
41360300,Calenzano - Marinella,132.0,3,,Terna,3.73,11.137087900000054,43.84515259999991,11.166788500000056,43.847615399999924
41360306,,132.0,6,,,3.46,11.077415000000052,43.843503399999925,11.099407700000052,43.864772199999926
41360307,Prato Autostrada - S. Giorgio,132.0,3,,Terna,2.81,11.077415000000052,43.843503399999925,11.098506500000052,43.84176279999992
41360309,San Cresci - San Giorgio,132.0,3,,Terna,7.26,11.098506500000052,43.84176279999992,11.140021000000063,43.80445419999979
41529085,,132.0,3,,FS,14.08,11.393381400000012,46.951343600000065,11.444144300000007,46.89345780000087
41529088,,132.0,3,,FS,11.05,11.47838189999998,46.975761400000025,11.393334100000011,46.951444600000066
41644397,,220.0,3,,,0.05,10.881332899999995,45.8837271,10.881811500000023,45.8836967
41820527,T. 23.861F,132.0,3,,,20.31,11.531781299999967,46.60482439999996,11.668278400000005,46.716551599999846
41873669,,132.0,3,,,6.06,11.587727300000042,46.59420510000009,11.638189400000016,46.58128619999995
41936332,,0.0,6,,,1.38,9.450092899999996,45.649093599999794,9.447605799999996,45.636921799999826
42231933,C.P. Sorisole - C.P. Curno,132.0,,,,6.1,9.619009300000055,45.684268400000185,9.629715399999972,45.73020020000002
42334861,,0.0,,,,0.89,11.89186210000002,46.61200709999999,11.892505700000001,46.619872000000086
42429607,,0.0,,,,1.96,11.894971899999973,46.623005200000165,11.90141589999997,46.63869000000016
42430971,,0.0,,,,0.34,11.90438499999997,46.64463730000016,11.904939299999969,46.64764700000016
42551448,Pettino-Torrione,150.0,3,,,5.46,13.408858799999999,42.35953869999999,13.360706699999994,42.363884199999994
42552270,,150.0,6,,,2.5,12.868027900000012,42.41588559999985,12.886018700000005,42.420545399999966
42569320,,0.0,,,,3.46,11.887583799999968,46.66436459999968,11.8690788,46.64052829999996
42599572,,0.0,,,,1.7,11.8909377,46.6678527000001,11.901796700000002,46.6758434000001
42607822,Bolognano CP-Edison Bussi,150.0,3,,,13.16,13.839981599999993,42.20093660000006,13.947093999999979,42.22600679999989
42689881,,0.0,,,,1.92,11.877709499999993,46.74066099999986,11.888814799999997,46.72814849999988
42689882,,0.0,,,,0.16,11.888145499999997,46.73195049999988,11.889242999999997,46.73292879999988
42759190,,0.0,,,,3.19,11.857659799999999,46.791998699999866,11.882076399999963,46.77761220000026
