time,peak_mw,min_mw,avg_mw
2013-01-01,48462.64718174932,31708.348536746656,42595.91868942425
2013-01-02,48462.64718174932,31190.1030346477,42267.028825688474
2013-01-03,48462.64718174932,31190.1030346477,42208.32879102522
2013-01-04,47473.29661252323,31299.745554525907,41809.78356961642
2013-01-05,41371.62824018268,29710.575558072265,36713.85453448879
2013-01-06,41324.67057320534,29770.703943650587,36894.56924476376
2013-01-07,48255.21464643381,30990.14571030572,41765.010170556234
2013-01-08,48462.64718174932,31051.93728463364,42276.289261124584
2013-01-09,48462.64718174932,31034.229350570135,42289.21191024974
2013-01-10,48462.64718174932,31051.93728463364,42231.036762420576
2013-01-11,48462.64718174932,31209.037798874044,42221.62954143891
2013-01-12,44480.18284360422,30080.13015827604,38314.483703428596
2013-01-13,43997.940351814505,29958.63284935699,38143.757454434344
2013-01-14,48462.64718174932,31000.462963593134,42361.448009119566
2013-01-15,49221.94310714528,31245.09792418154,42672.60604568422
2013-01-16,49247.11482918266,31294.082031297497,42662.99045015054
2013-01-17,49247.11482918266,31450.430912160664,42676.190487783955
2013-01-18,49285.395585622886,31906.615257139856,42813.92606666937
2013-01-19,45567.35998186652,30601.8939442684,39115.94496668042
2013-01-20,44480.18284360422,29974.554226274628,38268.04330795224
2013-01-21,48462.64718174932,31190.1030346477,42418.998318867656
2013-01-22,48752.60860496449,31193.114137356475,42271.40183553099
2013-01-23,48752.60860496449,31387.419361469692,42591.85990726388
2013-01-24,48956.39491879047,31209.037798874044,42420.62676265999
2013-01-25,48956.39491879047,31450.430912160664,42477.22163367869
2013-01-26,45562.077986826545,30245.02344288034,38755.91600588806
2013-01-27,44899.78617449169,31174.816776510816,38992.62502297492
2013-01-28,49167.79808878569,31299.745554525907,42623.578340786255
2013-01-29,48462.64718174932,31294.082031297497,42453.45094254886
2013-01-30,48462.64718174932,31209.037798874044,42141.93736511998
2013-01-31,47429.81153744067,31000.462963593134,41609.3390543392
2013-02-01,48305.90991889792,31498.40522610721,42122.31988628099
2013-02-02,41747.33983719992,30345.401910039225,37540.41346066358
2013-02-03,44096.310655634225,30402.606007706137,38017.12217546262
2013-02-04,48513.34245421343,31802.33926249906,42458.86725302643
2013-02-05,48513.34245421343,31847.334458135854,42479.33241363141
2013-02-06,48803.3038774286,31698.362550449194,42367.95521606408
2013-02-07,48803.3038774286,31802.33926249906,42683.02886652678
2013-02-08,49380.16535995169,32216.605767948215,42834.244917687116
2013-02-09,45665.73028568624,31245.509152169085,39113.644755316775
2013-02-10,45966.04551578772,32092.300685714228,39406.28277773419
2013-02-11,49418.44611639192,32053.412225692417,43092.642403450234
2013-02-12,49336.090858086995,31895.67659267126,43065.428344266395
2013-02-13,49007.09019125458,32210.702361727068,42909.5676062551
2013-02-14,48513.34245421343,32053.412225692417,42656.75158850622
2013-02-15,48513.34245421343,31895.67659267126,42589.04946858236
2013-02-16,44096.310655634225,30680.710357280535,38359.044253928565
2013-02-17,44096.310655634225,30653.918853892224,38506.81579473493
2013-02-18,48513.34245421343,31808.002785727476,42611.76553126914
2013-02-19,48513.34245421343,32017.157909390793,42604.63976889336
2013-02-20,48513.34245421343,31895.67659267126,42717.445983717385
2013-02-21,49297.81010164678,31717.292745475672,43001.52075444424
2013-02-22,49218.49336124979,32121.781163221076,43027.55186682226
2013-02-23,45129.95504831837,30853.058291458987,39110.15617122247
2013-02-24,45751.73176548068,30644.990637362724,39570.830611790625
2013-02-25,49380.16535995169,32121.781163221076,43070.78430322913
2013-02-26,48513.34245421343,31895.67659267126,42644.78875692699
2013-02-27,48305.90991889792,32121.781163221076,42668.62998507968
2013-02-28,47672.874693276695,31717.292745475672,42249.37239031507
2013-03-01,46309.61279177882,31669.50348412352,41075.52133834536
2013-03-02,39424.81554756437,30485.44788579632,35836.550074651415
2013-03-03,39406.10924333111,30482.317983891135,35735.73505852243
2013-03-04,46154.867700067065,31750.659327464786,40830.814793625796
2013-03-05,46066.22065355276,31705.563609431025,41133.80890752945
2013-03-06,46568.7915155266,31263.361016028233,41250.37052868137
2013-03-07,45440.208288118774,31206.376239954676,40505.14440715081
2013-03-08,45129.616927528616,31204.56912140943,40405.32052662513
2013-03-09,38914.2120322339,29743.0831304874,35190.15717400156
2013-03-10,38677.225912213755,29723.86050666978,34986.06415263487
2013-03-11,45697.56847032165,31246.16940154908,40344.3235171148
2013-03-12,45784.63914288371,31246.16940154908,40533.57625328942
2013-03-13,46190.71764218093,31257.393641009025,40766.86427236327
2013-03-14,47639.25452069527,31559.072777269193,41376.5206157428
2013-03-15,47751.02171850911,31944.046142405827,41924.7270276757
2013-03-16,40997.14575792821,31867.81589651534,36827.70690569779
2013-03-17,42166.381156504416,30512.218827785247,36907.917971776005
2013-03-18,47639.25452069527,31676.22706171982,41921.02283446292
2013-03-19,46309.61279177882,31750.659327464786,40857.292354906946
2013-03-20,46900.944930263504,31696.4115021083,41267.75766683793
2013-03-21,45158.98317503892,31559.072777269193,40252.95760629954
2013-03-22,44921.10606104578,31578.146902091314,40312.62574018347
2013-03-23,39147.47882356672,29756.08478869349,35218.34761408081
2013-03-24,39886.02144319144,29716.29162709909,35517.82173064112
2013-03-25,46524.73985966121,31263.361016028233,41107.435676311805
2013-03-26,47024.523509719496,31578.146902091314,41672.06721944709
2013-03-27,46781.13137149344,31559.072777269193,41388.64117990892
2013-03-28,47581.90649323272,31301.294513278983,41432.0812293345
2013-03-29,45964.0624830478,31301.294513278983,40808.65864830538
2013-03-30,39406.10924333111,29756.08478869349,35510.22686374622
2013-03-31,37893.5213211573,30069.022433412567,34859.54081905975
2013-04-01,43342.90899805969,30371.670240043382,38808.80220968578
2013-04-02,42830.665139978904,30331.87707844898,38453.07077174655
2013-04-03,43039.58266524943,30382.894479503328,38285.51830801448
2013-04-04,42895.095427226894,30330.06995990373,38507.41531183343
2013-04-05,42812.25583373664,30330.06995990373,38385.48792697741
2013-04-06,36448.2308591446,28171.57080689879,32929.57286249778
2013-04-07,36481.3963963398,28122.461046786648,33047.83213178159
2013-04-08,43763.39418452044,30331.87707844898,38959.009038826705
2013-04-09,43209.072564914466,30371.670240043382,38702.88987034457
2013-04-10,42685.232077585024,30371.670240043382,38052.99182225089
2013-04-11,42271.58241411718,30324.504674472333,38057.28306245422
2013-04-12,41994.53811891066,30368.613445335992,37720.112951844305
2013-04-13,35038.44993385609,28122.461046786648,32291.33684032579
2013-04-14,34812.56925409949,28120.948641632465,32338.110025858725
2013-04-15,41016.69736413586,30368.613445335992,37573.594228524984
2013-04-16,41016.69736413586,30368.613445335992,37564.55235314892
2013-04-17,40933.85777064561,30368.613445335992,37552.532120996424
2013-04-18,40869.04367060926,30368.613445335992,37537.738003761304
2013-04-19,41119.15253263182,30368.613445335992,37489.61557158591
2013-04-20,35830.07523287258,28181.262079805176,32805.90584998613
2013-04-21,35672.47439124734,28181.262079805176,32840.61130272634
2013-04-22,41880.0385395796,30368.613445335992,38002.443240140674
2013-04-23,41650.08441814642,30368.613445335992,37737.18005562723
2013-04-24,41039.177827454776,30368.613445335992,37582.49369717202
2013-04-25,40933.85777064561,30368.613445335992,37557.11674190753
2013-04-26,41300.30303034359,30368.613445335992,37556.48695385994
2013-04-27,35168.8343365059,28181.262079805176,32416.353670629876
2013-04-28,35038.44993385609,28181.262079805176,32359.72500657053
2013-04-29,41119.15253263182,30368.613445335992,37642.215614345994
2013-04-30,41016.69736413586,30368.613445335992,37538.62309585115
2013-05-01,40559.192520396675,29830.48050083956,37020.28992222986
2013-05-02,40601.325112320206,29830.48050083956,37036.94084805872
2013-05-03,40495.97307111201,29830.48050083956,36941.21658691717
2013-05-04,34124.38150154921,27652.85010801423,31845.362086862282
2013-05-05,34115.933051005166,27699.289170807293,31917.174678019943
2013-05-06,40493.272673993815,29830.48050083956,36978.331340667726
2013-05-07,40495.97307111201,29830.48050083956,37001.43226325118
2013-05-08,40538.10566303554,29830.48050083956,37022.55205692799
2013-05-09,40601.325112320206,29830.48050083956,37065.041046440725
2013-05-10,40493.272673993815,29830.48050083956,36913.62157069488
2013-05-11,34115.933051005166,27652.85010801423,31847.196430223372
2013-05-12,34124.38150154921,27652.85010801423,31915.789353736913
2013-05-13,40528.75708011876,29830.48050083956,37014.385944858725
2013-05-14,40538.10566303554,29830.48050083956,37017.61179996099
2013-05-15,40674.42317170559,29830.48050083956,36991.93289673898
2013-05-16,40726.023145742285,29830.48050083956,37023.64942642808
2013-05-17,40674.42317170559,29830.48050083956,36917.79448766012
2013-05-18,34633.41549672723,27652.85010801423,31891.75936051494
2013-05-19,34629.57965344345,27652.85010801423,31995.94758844173
2013-05-20,40493.272673993815,29830.48050083956,36987.26422158875
2013-05-21,40674.42317170559,29830.48050083956,36996.10952617911
2013-05-22,40493.272673993815,29830.48050083956,36996.28658267375
2013-05-23,40493.272673993815,29830.48050083956,36991.19649402795
2013-05-24,40948.93156098893,29830.48050083956,37000.018095894025
2013-05-25,35148.22724513022,27676.31523390332,32321.839581109994
2013-05-26,34411.3912216538,27692.421663415353,31978.453550046735
2013-05-27,40493.272673993815,29827.97201011556,36995.76835925611
2013-05-28,40493.272673993815,29830.48050083956,36985.293468573465
2013-05-29,40874.53584884287,29830.48050083956,36989.20432288831
2013-05-30,40674.42317170559,29830.48050083956,37016.97430138864
2013-05-31,40493.272673993815,29830.48050083956,36953.5647543514
2013-06-01,34366.79354640496,27753.728902557956,32060.8723011914
2013-06-02,34398.556339242656,27753.728902557956,32173.114410215854
2013-06-03,40506.61016838974,29847.580731321483,36973.39898460882
2013-06-04,40569.82961767441,29847.580731321483,37007.712914035896
2013-06-05,40632.107811787595,29847.580731321483,37024.24656373499
2013-06-06,40863.016895991845,29847.580731321483,37123.46512047067
2013-06-07,41434.975627063475,29847.580731321483,37186.88218764935
2013-06-08,34477.62405824717,27854.6762350996,32201.65782098442
2013-06-09,34317.249712305966,27911.39828218112,32158.77806969186
2013-06-10,40506.61016838974,29847.580731321483,36981.3676691674
2013-06-11,41163.67481608295,29847.580731321483,37215.62769032013
2013-06-12,41362.72286965248,29847.580731321483,37369.24057238286
2013-06-13,41382.95985583937,29856.75340004358,37578.95494707091
2013-06-14,41511.61938554143,30403.73688467187,37684.1298365928
2013-06-15,34945.70431506596,28270.354623305982,32699.334784331528
