name,bus,carrier,p_nom,n_units,marginal_cost
CALA_CCGT,CALA,CCGT,4025.0,7,65
CALA_biomass,CALA,biomass,110.0,3,80
CALA_hydro,CALA,hydro,552.6,7,5
CALA_wind,CALA,wind,96.0,48,0
CNOR_CCGT,CNOR,CCGT,1674.0,7,65
CNOR_biogas,CNOR,biogas,2.6,1,75
CNOR_coal,CNOR,coal,150.0,1,45
CNOR_geothermal,CNOR,geothermal,310.3,9,10
CNOR_hydro,CNOR,hydro,368.51300000000003,19,5
CNOR_oil,CNOR,oil,16.0,1,120
CNOR_other,CNOR,other,194.0,2,90
CNOR_solar,CNOR,solar,30.012,27,0
CNOR_waste,CNOR,waste,36.6,2,50
CNOR_wind,CNOR,wind,57.15,33,0
CSUD_CCGT,CSUD,CCGT,10383.3,27,65
CSUD_biomass,CSUD,biomass,74.8,1,80
CSUD_coal,CSUD,coal,3960.0,4,45
CSUD_hydro,CSUD,hydro,1368.4,21,5
CSUD_other,CSUD,other,79.3,4,90
CSUD_solar,CSUD,solar,0.0103,4,0
CSUD_waste,CSUD,waste,110.5,2,50
CSUD_wind,CSUD,wind,328.65,187,0
NORD_CCGT,NORD,CCGT,23978.42,55,65
NORD_biogas,NORD,biogas,1.999,2,75
NORD_biomass,NORD,biomass,32.999,7,80
NORD_coal,NORD,coal,672.0,3,45
NORD_hydro,NORD,hydro,12343.35342,318,5
NORD_oil,NORD,oil,0.27,2,120
NORD_other,NORD,other,2462.849,19,90
NORD_solar,NORD,solar,297.87045,82,0
NORD_waste,NORD,waste,42.0,3,50
NORD_wind,NORD,wind,100.5392,65,0
SARD_CCGT,SARD,CCGT,620.5,2,65
SARD_coal,SARD,coal,1632.0,4,45
SARD_oil,SARD,oil,497.0,3,120
SARD_other,SARD,other,115.0,2,90
SARD_solar,SARD,solar,31.0138,3,0
SARD_wind,SARD,wind,289.27,151,0
SICI_CCGT,SICI,CCGT,1845.0,5,65
SICI_hydro,SICI,hydro,50.3,4,5
SICI_oil,SICI,oil,3015.0,11,120
SICI_other,SICI,other,774.0,1,90
SICI_solar,SICI,solar,2.605,4,0
SICI_wind,SICI,wind,184.01,96,0
SUD_CCGT,SUD,CCGT,1620.0,3,65
SUD_coal,SUD,coal,5280.0,5,45
SUD_other,SUD,other,240.5,2,90
SUD_solar,SUD,solar,20.002,2,0
SUD_wind,SUD,wind,910.56,410,0
