bus_id,voltage,dc,symbol,under_construction,x,y,country,geometry
0,220.0,f,Substation,f,20.0539,41.0932,AL,POINT (20.0539 41.0932)
1,400.0,f,Substation,f,20.0549,41.0942,AL,POINT (20.0549 41.0942)
2,220.0,f,Substation,f,19.8208,42.1014,AL,POINT (19.8208 42.1014)
3,400.0,f,Substation,f,19.8218,42.1024,AL,POINT (19.8218 42.1024)
4,220.0,f,Substation,f,19.6383,42.013,AL,POINT (19.6383 42.013)
5,400.0,f,Substation,f,19.6393,42.014,AL,POINT (19.6393 42.014)
6,220.0,f,Substation,f,20.0395,42.2494,AL,POINT (20.0395 42.2494)
7,220.0,f,Substation,f,19.4563,42.2124,AL,POINT (19.4563 42.2124)
8,220.0,f,Substation,f,19.5523,40.6991,AL,POINT (19.5523 40.6991)
9,220.0,f,Substation,f,19.5024,41.332,AL,POINT (19.5024 41.332)
10,220.0,f,Substation,f,20.2993,42.0937,AL,POINT (20.2993 42.0937)
11,220.0,f,Substation,f,19.6977,41.3586,AL,POINT (19.6977 41.3586)
12,400.0,f,Substation,f,19.6987,41.3596,AL,POINT (19.6987 41.3596)
13,220.0,f,Substation,f,19.8097,41.349,AL,POINT (19.8097 41.349)
14,220.0,f,Substation,f,12.0752,47.5221,AT,POINT (12.0752 47.5221)
15,220.0,f,Substation,f,16.3846,48.3557,AT,POINT (16.3846 48.3557)
16,380.0,f,Substation,f,16.3856,48.3567,AT,POINT (16.3856 48.3567)
17,400.0,f,Substation,f,16.3866,48.3577,AT,POINT (16.3866 48.3577)
18,220.0,f,Substation,f,11.4715,47.2735,AT,POINT (11.4715 47.2735)
19,380.0,f,Substation,f,16.3901,48.2793,AT,POINT (16.3901 48.2793)
20,400.0,f,Substation,f,16.3911,48.2803,AT,POINT (16.3911 48.2803)
21,380.0,f,Substation,f,16.3296,48.1642,AT,POINT (16.3296 48.1642)
22,220.0,f,Substation,f,14.4711,48.1192,AT,POINT (14.4711 48.1192)
23,380.0,f,Substation,f,14.4721,48.1202,AT,POINT (14.4721 48.1202)
24,220.0,f,Substation,f,16.4255,48.1379,AT,POINT (16.4255 48.1379)
25,380.0,f,Substation,f,16.4265,48.1389,AT,POINT (16.4265 48.1389)
26,380.0,f,Substation,f,15.7199,48.2519,AT,POINT (15.7199 48.2519)
27,220.0,f,Substation,f,11.8515,47.1563,AT,POINT (11.8515 47.1563)
28,220.0,f,Substation,f,15.0483,48.1616,AT,POINT (15.0483 48.1616)
29,220.0,f,Substation,f,13.0301,47.8312,AT,POINT (13.0301 47.8312)
30,220.0,f,Substation,f,16.2405,48.3573,AT,POINT (16.2405 48.3573)
31,220.0,f,Substation,f,12.74,47.2686,AT,POINT (12.74 47.2686)
32,380.0,f,Substation,f,12.741,47.2696,AT,POINT (12.741 47.2696)
33,380.0,f,Substation,f,15.7055,48.3934,AT,POINT (15.7055 48.3934)
34,220.0,f,Substation,f,14.0521,48.0833,AT,POINT (14.0521 48.0833)
35,220.0,f,Substation,f,15.8845,48.3387,AT,POINT (15.8845 48.3387)
36,380.0,f,Substation,f,15.8855,48.3397,AT,POINT (15.8855 48.3397)
37,220.0,f,Substation,f,9.5708,47.3108,AT,POINT (9.5708 47.3108)
38,380.0,f,Substation,f,9.5718,47.3118,AT,POINT (9.5718 47.3118)
