converter_id,bus0,bus1,voltage,geometry
converter/relation/5487095_0,6047,869,400.0,'LINESTRING (10.5069 55.3673, 10.5054 55.3656)'
converter/relation/5487095_1,6048,887,400.0,'LINESTRING (11.3175 55.531, 11.3146 55.5313)'
converter/relation/17631956_0,5974,1004,250.0,'LINESTRING (-0.2211 39.6471, -0.2669 39.6599)'
converter/relation/17631956_1,5973,1078,250.0,'LINESTRING (2.4931 39.5256, 2.5089 39.537)'
converter/relation/6914309_0,5988,2513,500.0,'LINESTRING (-5.768 54.8451, -5.7783 54.8443)'
converter/relation/6914309_1,5991,5014,500.0,'LINESTRING (-4.979 55.0716, -4.9808 55.0697)'
converter/relation/8099179_0,5996,2497,320.0,'LINESTRING (-2.9486 57.5221, -2.9465 57.5281)'
converter/relation/8099179_1,6005,2605,320.0,'LINESTRING (-3.0814 58.4639, -3.4513 58.4801)'
converter/relation/15775538_0,5993,2575,600.0,'LINESTRING (-4.893 55.7191, -4.8874 55.7183)'
converter/relation/15775538_1,5995,2337,600.0,'LINESTRING (-3.0389 53.2342, -3.069 53.2318)'
converter/relation/3392001_1,6035,3781,150.0,'LINESTRING (16.6493 57.7288, 16.6585 57.4159)'
converter/relation/8184633_0,6024,3844,300.0,'LINESTRING (13.6016 55.8313, 13.6026 55.832)'
converter/relation/8184633_1,6026,3784,300.0,'LINESTRING (14.6554 57.7478, 14.6586 57.7517)'
converter/relation/8185664_0,6008,2923,400.0,'LINESTRING (18.1305 40.1654, 18.1306 40.1645)'
converter/relation/8185664_1,6006,5738,400.0,'LINESTRING (20.9642 39.1836, 20.9654 39.184)'
converter/relation/8185487_0,6046,4114,400.0,'LINESTRING (1.3478 51.3105, 1.3445 51.3101)'
converter/relation/8185487_1,5947,142,400.0,'LINESTRING (3.2111 51.2664, 3.2045 51.2644)'
converter/relation/8193755_0,5948,105,320.0,'LINESTRING (5.6675 50.753, 5.6831 50.7509)'
converter/relation/8193755_1,5954,493,320.0,'LINESTRING (6.455 50.8719, 6.4509 50.8693)'
converter/relation/2505320_0,6049,866,400.0,'LINESTRING (12.0074 55.4499, 12.0056 55.4525)'
converter/relation/2505320_1,5955,559,400.0,'LINESTRING (12.2159 54.1006, 12.2147 54.1061)'
converter/relation/3918230_0,6051,661,450.0,'LINESTRING (10.8022 53.8958, 10.7849 53.9028)'
converter/relation/3918230_1,6029,3705,450.0,'LINESTRING (13.147 55.5014, 13.1456 55.5017)'
converter/relation/8185420_0,5963,894,320.0,'LINESTRING (8.7045 55.5305, 8.7066 55.5311)'
converter/relation/8185420_1,6018,3178,320.0,'LINESTRING (6.8663 53.4352, 6.8647 53.4373)'
converter/relation/9965201_0,6019,3178,450.0,'LINESTRING (6.8673 53.4362, 6.8647 53.4373)'
